blockNumber,reserve0,reserve1
18909194,"52194771019441","22794738994013782847074"
18909195,"52194771019441","22794738994013782847074"
18909196,"52194771019441","22794738994013782847074"
18909197,"52194771019441","22794738994013782847074"
18909198,"52194791019441","22794730285729159313777"
18909199,"52194791019441","22794730285729159313777"
18909200,"52194791019441","22794730285729159313777"
18909201,"52194791019441","22794730285729159313777"
18909202,"52194791019441","22794730285729159313777"
18909203,"52194791019441","22794730285729159313777"
18909204,"52195791019441","22794294879981737563028"
18909205,"52195791019441","22794294879981737563028"
18909206,"52195791019441","22794294879981737563028"
18909207,"52195791019441","22794294879981737563028"
18909208,"52195791019441","22794294879981737563028"
18909209,"52195791019441","22794294879981737563028"
18909210,"52195791019441","22794294879981737563028"
18909211,"52195791019441","22794294879981737563028"
18909212,"52195791019441","22794294879981737563028"
18909213,"52195190093757","22794558101438005793355"
18909214,"52195190093757","22794558101438005793355"
18909215,"52195190093757","22794558101438005793355"
18909216,"52195190093757","22794558101438005793355"
18909217,"52195190093757","22794558101438005793355"
18909218,"52195190093757","22794558101438005793355"
18909219,"52195190093757","22794558101438005793355"
18909220,"52195190093757","22794558101438005793355"
18909221,"52195190093757","22794558101438005793355"
18909222,"52195190093757","22794558101438005793355"
18909223,"52195190093757","22794558101438005793355"
18909224,"52195190093757","22794558101438005793355"
18909225,"52195190093757","22794558101438005793355"
18909226,"52195241498701","22794535719364589354397"
18909227,"52195261607650","22794526963799041009329"
18909228,"52195261607650","22794526963799041009329"
18909229,"52195216348284","22794546788799041009329"
18909230,"52195216348284","22794546788799041009329"
18909231,"52195216348284","22794546788799041009329"
18909232,"52195216348284","22794546788799041009329"
18909233,"52195466348284","22794437937566046261416"
18909234,"52195466348284","22794437937566046261416"
18909235,"52195411321650","22794462040746631474882"
18909236,"52195411321650","22794462040746631474882"
18909237,"52195411321650","22794462040746631474882"
18909238,"52195411321650","22794462040746631474882"
18909239,"52195411321650","22794462040746631474882"
18909240,"52195411321650","22794462040746631474882"
18909241,"52195411321650","22794462040746631474882"
18909242,"52195411321650","22794462040746631474882"
18909243,"52195411321650","22794462040746631474882"
18909244,"52195411321650","22794462040746631474882"
18909245,"52195411321650","22794462040746631474882"
18909246,"52195411321650","22794462040746631474882"
18909247,"52195411321650","22794462040746631474882"
18909248,"52195411321650","22794462040746631474882"
18909249,"52195411321650","22794462040746631474882"
18909250,"52195411321650","22794462040746631474882"
18909251,"52195196117571","22794556306546100495944"
18909252,"52195196117571","22794556306546100495944"
18909253,"52195196117571","22794556306546100495944"
18909254,"52195196117571","22794556306546100495944"
18909255,"52195196117571","22794556306546100495944"
18909256,"52195196117571","22794556306546100495944"
18909257,"52195196117571","22794556306546100495944"
18909258,"52195196117571","22794556306546100495944"
18909259,"52195196117571","22794556306546100495944"
18909260,"52195196117571","22794556306546100495944"
18909261,"52195196117571","22794556306546100495944"
18909262,"52196564117571","22793960684839225755193"
18909263,"52196564117571","22793960684839225755193"
18909264,"52196564117571","22793960684839225755193"
18909265,"52196564117571","22793960684839225755193"
18909266,"52196564117571","22793960684839225755193"
18909267,"52196564117571","22793960684839225755193"
18909268,"52198564117571","22793089948956000855999"
18909269,"52198564117571","22793089948956000855999"
18909270,"52198564117571","22793089948956000855999"
18909271,"52198564117571","22793089948956000855999"
18909272,"52198564117571","22793089948956000855999"
18909273,"52198564117571","22793089948956000855999"
18909274,"52201535117571","22791796593754793706100"
18909275,"52201535117571","22791796593754793706100"
18909276,"52201535117571","22791796593754793706100"
18909277,"52200584779067","22792212778693775137025"
18909278,"52200584779067","22792212778693775137025"
18909279,"52200584779067","22792212778693775137025"
18909280,"52215871084056","22785560479906494617945"
18909281,"52214977552255","22785951572395991306587"
18909282,"52214977552255","22785951572395991306587"
18909283,"52214977552255","22785951572395991306587"
18909284,"52214977552255","22785951572395991306587"
18909285,"52214977552255","22785951572395991306587"
18909286,"52212733619207","22786933784937388870182"
18909287,"52212743619207","22786929433782589895248"
18909288,"52212743619207","22786929433782589895248"
18909289,"52212743619207","22786929433782589895248"
18909290,"52212743619207","22786929433782589895248"
18909291,"52212743619207","22786929433782589895248"
18909292,"52212893619207","22786864166660046455024"
18909293,"52212893619207","22786864166660046455024"
18909294,"52212644749876","22786973106088745911560"
18909295,"52212644749876","22786973106088745911560"
18909296,"52212644749876","22786973106088745911560"
18909297,"52212644749876","22786973106088745911560"
18909298,"52212644749876","22786973106088745911560"
18909299,"52213079800428","22786783809747735484335"
18909300,"52213079800428","22786783809747735484335"
18909301,"52213079800428","22786783809747735484335"
18909302,"52213079800428","22786783809747735484335"
18909303,"52213047975191","22786797740689445376828"
18909304,"52213525355879","22786590029306718947983"
18909305,"52213525355879","22786590029306718947983"
18909306,"52213525355879","22786590029306718947983"
18909307,"52213208473157","22786728737578128901981"
18909308,"52212923127924","22786853642467282066498"
18909309,"52212923127924","22786853642467282066498"
18909310,"52212923127924","22786853642467282066498"
18909311,"52212923127924","22786853642467282066498"
18909312,"52212923127924","22786853642467282066498"
18909313,"52213015186358","22786813586766619614988"
18909314,"52213015186358","22786813586766619614988"
18909315,"52213015186358","22786813586766619614988"
18909316,"52213515186358","22786596033383002549142"
18909317,"52213515186358","22786596033383002549142"
18909318,"52213515186358","22786596033383002549142"
18909319,"52213515186358","22786596033383002549142"
18909320,"52213515186358","22786596033383002549142"
18909321,"52213515186358","22786596033383002549142"
18909322,"52213515186358","22786596033383002549142"
18909323,"52213515186358","22786596033383002549142"
18909324,"52213488151779","22786607867100822926677"
18909325,"52213235051744","22786718655968563162810"
18909326,"52214235051744","22786283557000192108412"
18909327,"52214110951667","22786337877343055374021"
18909328,"52214110951667","22786337877343055374021"
18909329,"52228468332324","22780092797797211859510"
18909330,"52228468332324","22780092797797211859510"
18909331,"52228468332324","22780092797797211859510"
18909332,"52228468332324","22780092797797211859510"
18909333,"52229468332324","22779657952210053457729"
18909334,"52229468332324","22779657952210053457729"
18909335,"52229468332324","22779657952210053457729"
18909336,"52229468332324","22779657952210053457729"
18909337,"52229468332324","22779657952210053457729"
18909338,"52229669950505","22779570281449776900028"
18909339,"52229669950505","22779570281449776900028"
18909340,"52230409950505","22779248508902088509213"
18909341,"52230409950505","22779248508902088509213"
18909342,"52230409950505","22779248508902088509213"
18909343,"52230409950505","22779248508902088509213"
18909344,"52230409950505","22779248508902088509213"
18909345,"52230409950505","22779248508902088509213"
18909346,"52230409950505","22779248508902088509213"
18909347,"52230409950505","22779248508902088509213"
18909348,"52231099741633","22778948576764884043019"
18909349,"52232860457622","22778183025330629316346"
18909350,"52232463960610","22778356454972180254027"
18909351,"52232463960610","22778356454972180254027"
18909352,"52232463960610","22778356454972180254027"
18909353,"52232463960610","22778356454972180254027"
18909354,"52232463960610","22778356454972180254027"
18909355,"52232463960610","22778356454972180254027"
18909356,"52232463960610","22778356454972180254027"
18909357,"52248203412189","22771515193806317305704"
18909358,"52248203412189","22771515193806317305704"
18909359,"52248203412189","22771515193806317305704"
18909360,"52248203412189","22771515193806317305704"
18909361,"52248203412189","22771515193806317305704"
18909362,"52248203412189","22771515193806317305704"
18909363,"52248203412189","22771515193806317305704"
18909364,"52248203412189","22771515193806317305704"
18909365,"52248203412189","22771515193806317305704"
18909366,"52248143240121","22771541497749235273518"
18909367,"52248143240121","22771541497749235273518"
18909368,"52248143240121","22771541497749235273518"
18909369,"52265706865470","22763912185970544334890"
18909370,"52265856865470","22763847050845992845583"
18909371,"52282290260433","22756713366046998464964"
18909372,"52282290260433","22756713366046998464964"
18909373,"52298043273236","22749879235413742789509"
18909374,"52298043273236","22749879235413742789509"
